Feature,Importance
accommodates,0.25630040984796765
bathrooms,0.21200400349854862
longitude,0.12715985135856178
latitude,0.08437897741671133
amenities_count,0.06375243702792492
minimum_nights,0.06068350351525085
number_of_reviews,0.032594726977004974
availability_365,0.030702021499191278
occupancy_proxy,0.03038073163622321
review_intensity,0.02638557450575316
reviews_per_month,0.02430240808454219
beds,0.02185139342624692
bedrooms,0.018081674943128404
is_superhost,0.008635776407671932
instant_bookable_num,0.002786509855272905
